s_no	date	depart	arrival	departTime	timeTaken	price
91	2023-02-01	9	55	12:00	6:43	357000
92	2023-02-01	37	38	11:02	6:00	373500
93	2023-02-01	67	27	15:36	6:28	306450
94	2023-02-01	18	67	14:38	5:16	272580
95	2023-02-01	60	20	18:43	6:28	275670
96	2023-02-01	60	17	21:50	5:16	364540
97	2023-02-01	42	7	19:40	4:48	349600
98	2023-02-01	66	32	18:00	5:16	391160
99	2023-02-01	57	45	9:50	6:43	521920
100	2023-02-01	26	32	13:26	6:14	274560
101	2023-02-01	5	60	23:31	5:45	399360
102	2023-02-01	17	5	17:45	7:12	471900
103	2023-02-01	51	54	12:57	7:12	414900
104	2023-02-01	44	68	20:09	5:16	402600
105	2023-02-01	21	60	10:04	6:43	291200
106	2023-02-01	40	48	14:52	5:31	425270
107	2023-02-01	2	48	9:50	6:14	320320
108	2023-02-01	67	3	17:02	5:16	312400
109	2023-02-01	35	55	18:43	5:31	408480
110	2023-02-01	7	4	11:16	6:43	492800
111	2023-02-01	61	21	18:28	5:16	387420
112	2023-02-01	2	51	18:28	6:00	354000
113	2023-02-01	63	27	16:19	5:16	332640
114	2023-02-01	49	61	21:07	5:16	325380
115	2023-02-01	44	39	15:50	5:45	417840
116	2023-02-01	50	58	13:40	5:02	278040
117	2023-02-01	41	53	12:14	6:14	494000
118	2023-02-01	47	30	14:09	5:16	324280
119	2023-02-01	19	30	17:02	7:12	370500
120	2023-02-01	14	27	19:40	6:28	336420
121	2023-02-01	22	57	19:12	5:45	414000
122	2023-02-01	62	24	16:19	6:43	537040
123	2023-02-01	17	28	21:07	6:00	465250
124	2023-02-01	46	37	10:04	5:45	387360
125	2023-02-01	36	7	19:12	6:28	355050
126	2023-02-01	40	27	17:02	5:02	306600
127	2023-02-01	8	15	12:28	6:14	264420
128	2023-02-01	25	16	13:12	6:14	321880
129	2023-02-01	54	4	18:57	7:12	465900
130	2023-02-01	9	45	21:07	5:02	399210
131	2023-02-01	25	21	22:48	5:16	281380
132	2023-02-01	15	64	20:24	5:02	258720
133	2023-02-01	16	64	12:57	6:14	438880
134	2023-02-01	35	7	22:33	5:45	286320
135	2023-02-01	1	69	13:12	5:16	346500
136	2023-02-01	12	23	11:02	5:16	250360
137	2023-02-01	3	32	18:00	5:45	367440
138	2023-02-01	11	66	20:24	5:31	411240
139	2023-02-01	21	26	23:45	6:57	386860
140	2023-02-01	55	53	16:04	7:12	461700
141	2023-02-01	52	16	9:50	6:43	308280
142	2023-02-01	68	46	9:50	5:16	311300
143	2023-02-01	62	3	16:04	6:57	406290
144	2023-02-01	58	28	10:04	5:16	286440
145	2023-02-01	27	68	17:45	6:28	314010
146	2023-02-01	6	66	14:52	5:45	384720
147	2023-02-01	68	15	14:52	5:16	420640
148	2023-02-01	32	19	17:31	6:14	319020
149	2023-02-01	31	68	15:07	5:45	406800
150	2023-02-01	53	19	13:40	6:14	392340
151	2023-02-01	30	61	20:38	5:45	407520
152	2023-02-01	70	41	19:55	6:43	422240
153	2023-02-01	68	70	22:33	4:48	370000
154	2023-02-01	63	17	11:02	7:12	415800
155	2023-02-01	15	3	12:28	6:14	402480
156	2023-02-01	57	36	15:07	5:02	280350
157	2023-02-01	62	21	9:50	6:14	268580
158	2023-02-01	34	13	16:19	7:12	349200
159	2023-02-01	22	70	13:26	4:48	315600
160	2023-02-01	27	63	17:02	7:12	438300
161	2023-02-01	3	13	18:00	6:28	411750
162	2023-02-01	48	32	17:31	6:28	529470
163	2023-02-01	63	33	9:50	6:28	473580
164	2023-02-01	35	47	13:40	5:45	290160
165	2023-02-01	44	32	11:02	6:43	490280
166	2023-02-01	45	42	23:16	6:57	443990
167	2023-02-01	67	68	11:45	5:16	408100
168	2023-02-01	32	28	20:52	6:28	398790
169	2023-02-01	31	24	11:31	5:02	321720
170	2023-02-01	42	49	10:19	4:48	310400
171	2023-02-01	30	8	13:26	5:31	409400
172	2023-02-01	20	16	13:26	6:28	303210
173	2023-02-01	67	32	22:19	6:28	329940
174	2023-02-01	31	6	13:55	5:02	251790
175	2023-02-01	8	29	22:48	5:02	318150
176	2023-02-01	14	37	9:50	6:43	545720
177	2023-02-01	47	26	10:04	5:45	291600
178	2023-02-01	11	50	15:07	6:00	478750
179	2023-02-01	40	18	13:40	6:14	348660
180	2023-02-01	19	43	20:52	6:28	404190
181	2023-02-01	13	17	13:26	6:14	303940
182	2023-02-01	30	60	17:31	5:45	473040
183	2023-02-01	53	14	10:19	6:00	487750
184	2023-02-02	38	7	15:50	6:14	263900
185	2023-02-02	3	25	11:02	5:16	250800
186	2023-02-02	23	8	20:52	6:43	446040
187	2023-02-02	41	31	10:48	4:48	213600
188	2023-02-02	13	17	20:24	6:00	492000
189	2023-02-02	62	28	23:31	5:45	310320
190	2023-02-02	4	67	13:55	6:00	355250
191	2023-02-02	58	51	10:48	7:12	447900
192	2023-02-02	21	42	17:02	6:14	274300
193	2023-02-02	63	36	15:21	5:31	336490
194	2023-02-02	29	46	11:02	5:31	356960
195	2023-02-02	1	2	20:09	6:43	421960
196	2023-02-02	22	31	11:02	6:57	557380
197	2023-02-02	21	22	16:19	6:57	573910
198	2023-02-02	23	66	14:38	5:31	422740
199	2023-02-02	40	12	22:33	6:57	347710
200	2023-02-02	27	41	21:50	5:45	473040
201	2023-02-02	7	28	10:33	6:28	487080
202	2023-02-02	32	34	23:31	6:00	304500
203	2023-02-02	42	6	10:33	4:48	283800
204	2023-02-02	15	68	23:31	7:12	428700
205	2023-02-02	45	23	21:07	5:16	239140
206	2023-02-02	39	27	21:36	4:48	337600
207	2023-02-02	49	60	23:02	6:14	369460
208	2023-02-02	31	69	13:12	6:00	497500
209	2023-02-02	6	39	15:50	5:02	275100
210	2023-02-02	43	27	21:21	6:14	460980
211	2023-02-02	11	68	10:48	6:57	369170
212	2023-02-02	8	53	12:43	6:57	317840
213	2023-02-02	62	66	20:24	5:02	330750
214	2023-02-02	12	40	16:04	6:28	527040
215	2023-02-02	51	50	13:26	6:43	549080
216	2023-02-02	44	63	14:09	5:45	459840
217	2023-02-02	6	49	19:40	6:57	442250
218	2023-02-02	1	8	11:31	6:28	486000
219	2023-02-02	68	37	16:04	7:12	408000
220	2023-02-02	66	39	23:31	5:45	247440
221	2023-02-02	51	16	23:16	6:28	407970
222	2023-02-02	25	39	21:07	6:43	446880
223	2023-02-02	15	17	18:28	5:16	415360
224	2023-02-02	61	53	14:24	6:43	404040
225	2023-02-02	10	36	11:45	6:43	390600
226	2023-02-02	35	27	12:43	7:12	347700
227	2023-02-02	14	48	23:02	4:48	302600
228	2023-02-02	47	2	11:16	6:43	492800
229	2023-02-02	14	12	15:07	6:14	278720
230	2023-02-02	14	18	18:43	5:45	329520
231	2023-02-02	61	68	22:19	7:12	529200
232	2023-02-02	20	34	19:12	5:31	272090
233	2023-02-02	69	29	17:31	5:31	285430
234	2023-02-02	62	49	13:26	6:43	309120
235	2023-02-02	46	63	16:19	7:12	573300
236	2023-02-02	5	50	15:36	6:43	288120
237	2023-02-02	14	23	10:48	6:57	533020
238	2023-02-02	34	48	12:28	6:14	454480
239	2023-02-02	30	27	18:00	6:28	411750
240	2023-02-02	11	27	13:40	5:16	253660
241	2023-02-02	34	63	22:33	5:45	253440
242	2023-02-02	6	63	16:19	5:16	364100
243	2023-02-02	23	30	21:07	5:02	399210
244	2023-02-02	58	13	23:31	6:14	299260
245	2023-02-02	30	8	18:57	6:00	255750
246	2023-02-02	33	27	10:04	6:28	408780
247	2023-02-02	52	68	23:31	6:43	540960
248	2023-02-02	6	38	18:14	6:57	494740
249	2023-02-02	2	23	21:36	5:02	232050
250	2023-02-02	34	33	11:45	6:57	410640
251	2023-02-02	21	12	12:14	7:12	550500
252	2023-02-02	9	3	17:02	6:28	294030
253	2023-02-02	35	60	16:19	6:57	578550
254	2023-02-02	22	49	23:45	4:48	287000
255	2023-02-02	10	44	13:55	5:31	339940
256	2023-02-02	40	22	14:24	4:48	331400
257	2023-02-02	56	51	17:31	6:57	347420
258	2023-02-02	51	38	21:36	5:16	264440
259	2023-02-02	8	43	20:24	5:45	367680
260	2023-02-02	64	18	19:55	5:16	283580
261	2023-02-02	36	66	21:36	7:12	327600
262	2023-02-02	36	51	20:09	6:00	415750
263	2023-02-02	69	39	15:07	5:02	264810
264	2023-02-02	22	61	21:36	6:57	419630
265	2023-02-02	70	34	13:26	6:14	461500
266	2023-02-02	36	42	23:16	4:48	249600
267	2023-02-02	36	4	16:19	6:28	410400
268	2023-02-02	12	32	21:21	5:16	286440
269	2023-02-02	27	47	11:45	6:28	407160
270	2023-02-02	27	5	12:14	5:02	368550
271	2023-02-02	12	55	15:07	6:43	459200
272	2023-02-02	41	2	15:50	5:16	251680
273	2023-02-02	29	35	21:36	5:16	376200
274	2023-02-02	62	24	18:43	6:28	275670
275	2023-02-02	50	68	23:45	6:14	339560
276	2023-02-02	18	1	20:09	6:00	365000
277	2023-02-02	43	51	20:52	4:48	298000
278	2023-02-02	37	25	23:45	6:14	420940
279	2023-02-02	15	1	9:50	4:48	382800
280	2023-02-02	33	11	16:48	4:48	320800
281	2023-02-02	3	9	21:21	7:12	546900
282	2023-02-02	59	36	18:57	4:48	353400
283	2023-02-02	59	53	18:00	6:28	380430
284	2023-02-02	65	38	19:12	6:28	355050
285	2023-02-02	70	10	22:33	5:31	421590
286	2023-02-02	53	23	15:07	7:12	448800
287	2023-02-02	3	11	20:52	6:00	463500
288	2023-02-02	9	46	21:21	6:57	364820
289	2023-02-02	2	11	10:48	5:02	335160
290	2023-02-02	19	54	12:43	6:00	463750
291	2023-02-02	48	17	12:14	6:43	467600
292	2023-02-02	12	49	14:09	6:57	559120
293	2023-02-02	18	8	16:48	6:57	408610
294	2023-02-02	62	48	23:16	5:02	333690
295	2023-02-02	46	43	21:07	6:00	447500
296	2023-02-02	13	28	14:09	7:12	478500
297	2023-02-02	32	66	13:40	6:14	348660
298	2023-02-02	29	60	12:57	7:12	417000
299	2023-02-02	40	24	17:31	5:45	471360
300	2023-02-02	8	41	10:33	5:31	423200
301	2023-02-02	8	49	14:09	4:48	212800
302	2023-02-02	50	37	16:48	5:31	404110
303	2023-02-02	23	37	20:09	6:00	289000
304	2023-02-02	55	27	22:48	5:31	413310
305	2023-02-02	69	23	14:24	6:14	381940
306	2023-02-02	38	21	13:26	5:45	251520
307	2023-02-02	56	70	15:36	6:14	310700
308	2023-02-02	21	10	23:16	6:28	288360
309	2023-02-02	46	32	16:33	5:02	257460
310	2023-02-02	40	46	22:33	6:43	493920
311	2023-02-02	34	36	21:50	6:14	510640
312	2023-02-02	28	4	17:16	4:48	262600
313	2023-02-02	57	58	17:16	6:57	376130
314	2023-02-02	14	60	16:19	6:00	406250
315	2023-02-02	4	63	12:00	6:00	271500
316	2023-02-02	6	21	13:12	6:43	547680
317	2023-02-02	18	29	10:19	5:31	444820
318	2023-02-02	68	41	12:14	5:02	391860
319	2023-02-02	1	12	15:50	7:12	381900
320	2023-02-02	23	48	22:48	5:45	332640
321	2023-02-02	2	29	15:36	5:02	368760
322	2023-02-02	16	27	23:45	5:16	417340
323	2023-02-02	3	39	12:28	6:14	507780
324	2023-02-02	67	55	12:57	7:12	417000
325	2023-02-02	29	63	14:52	6:57	493000
326	2023-02-02	1	19	17:31	7:12	348900
327	2023-02-02	54	35	19:40	6:28	336420
328	2023-02-02	57	70	13:55	5:31	341550
329	2023-02-02	6	50	15:36	5:02	339150
330	2023-02-02	1	53	16:48	6:28	464130
331	2023-02-02	25	20	15:50	5:31	352360
332	2023-02-02	47	52	15:36	5:16	300740
333	2023-02-02	48	19	12:14	6:57	382800
334	2023-02-02	27	37	16:48	5:31	426880
335	2023-02-02	27	51	14:09	5:45	306480
336	2023-02-02	14	6	19:40	6:43	330120
337	2023-02-02	68	39	10:33	6:00	387000
338	2023-02-02	14	44	15:21	6:14	392080
339	2023-02-02	62	53	21:50	5:45	473040
340	2023-02-02	12	26	23:31	6:43	342160
341	2023-02-02	68	16	13:40	5:45	384480
342	2023-02-02	67	40	21:36	6:28	497340
343	2023-02-02	58	59	16:33	5:02	225750
344	2023-02-02	54	27	17:16	7:12	418800
345	2023-02-02	38	33	15:07	5:16	265980
346	2023-02-02	45	36	17:45	5:16	226820
347	2023-02-02	54	58	21:07	6:43	360920
348	2023-02-02	30	46	13:40	6:43	541520
349	2023-02-02	66	68	13:12	5:16	346500
350	2023-02-02	42	22	10:48	7:12	327000
351	2023-02-02	12	30	20:38	7:12	307200
352	2023-02-02	43	6	11:02	5:16	250800
353	2023-02-02	18	30	21:36	5:16	293480
354	2023-02-02	20	15	18:43	5:31	368000
355	2023-02-02	21	39	13:55	6:57	477050
356	2023-02-03	11	31	22:48	6:43	382760
357	2023-02-03	30	16	15:07	5:16	295240
358	2023-02-03	52	57	18:14	5:45	457440
359	2023-02-03	66	52	19:40	7:12	574500
360	2023-02-03	54	65	20:09	7:12	300900
361	2023-02-03	34	46	12:14	6:57	382800
362	2023-02-03	34	18	11:31	5:02	318360
363	2023-02-03	38	17	23:16	4:48	249600
364	2023-02-03	63	45	10:19	5:16	312620
365	2023-02-03	58	44	12:28	5:02	399420
366	2023-02-03	3	8	15:50	5:16	405020
367	2023-02-03	5	29	22:04	7:12	507600
368	2023-02-03	5	8	12:28	6:28	426600
369	2023-02-03	38	41	10:04	6:14	335660
370	2023-02-03	21	2	11:31	5:16	382140
371	2023-02-03	40	1	20:09	6:43	287280
372	2023-02-03	32	62	17:31	6:28	513000
373	2023-02-03	13	32	11:16	6:57	494740
374	2023-02-03	20	18	23:16	4:48	303600
375	2023-02-03	61	23	20:09	6:43	421960
376	2023-02-03	54	64	14:52	6:28	405270
377	2023-02-03	11	20	23:31	5:45	417120
378	2023-02-03	37	61	21:50	7:12	548700
379	2023-02-03	36	10	14:09	5:02	418110
380	2023-02-03	66	49	16:19	6:14	389480
381	2023-02-03	7	14	10:33	6:57	464580
382	2023-02-03	56	58	23:45	4:48	255400
383	2023-02-03	26	46	18:57	5:02	308490
384	2023-02-03	15	44	10:04	4:48	398800
385	2023-02-03	66	22	11:02	5:02	413280
386	2023-02-03	11	22	13:12	5:31	440680
387	2023-02-03	49	39	20:38	6:14	288340
388	2023-02-03	18	24	11:31	6:00	440000
389	2023-02-03	21	33	19:26	6:43	519960
390	2023-02-03	44	11	17:02	4:48	311400
391	2023-02-03	30	9	20:24	5:45	328800
392	2023-02-03	24	7	22:48	5:02	396690
393	2023-02-03	4	53	10:33	6:43	536200
394	2023-02-03	13	9	14:52	5:31	425270
395	2023-02-03	66	1	10:33	6:28	332370
396	2023-02-03	62	49	18:57	5:45	459360
397	2023-02-03	34	40	13:40	6:14	392340
398	2023-02-03	6	52	16:33	6:43	516040
399	2023-02-03	61	2	14:09	6:00	473000
400	2023-02-03	14	47	14:24	5:45	450240
401	2023-02-03	66	46	22:19	7:12	344100
402	2023-02-03	59	33	12:00	6:14	414440
403	2023-02-03	7	15	16:19	6:57	578550
404	2023-02-03	65	8	14:24	4:48	256600
405	2023-02-03	41	48	22:48	6:14	419640
406	2023-02-03	51	28	14:38	4:48	225000
407	2023-02-03	21	30	12:43	6:28	403650
408	2023-02-03	62	7	12:28	5:02	320460
409	2023-02-03	41	16	14:09	6:57	559120
410	2023-02-03	18	14	20:24	6:43	357840
411	2023-02-03	32	39	11:16	7:12	330600
412	2023-02-03	16	46	23:45	6:57	386860
413	2023-02-03	16	12	22:33	5:02	388080
414	2023-02-03	1	4	14:24	5:16	322520
415	2023-02-03	21	49	12:00	4:48	380400
416	2023-02-03	1	14	22:48	5:16	292820
417	2023-02-03	25	55	16:33	6:43	285600
418	2023-02-03	6	54	20:52	5:31	447810
419	2023-02-03	56	68	14:52	6:14	387660
420	2023-02-03	15	6	19:12	7:12	387000
421	2023-02-03	38	60	21:21	6:14	433160
422	2023-02-03	14	68	20:38	6:28	299160
423	2023-02-03	16	2	18:00	4:48	331400
424	2023-02-03	40	27	18:57	6:00	335750
425	2023-02-03	41	29	21:50	6:57	428620
426	2023-02-03	16	7	22:04	6:14	442000
427	2023-02-03	13	19	17:02	7:12	438300
428	2023-02-03	41	55	19:26	6:14	502840
429	2023-02-03	20	64	18:00	5:45	264720
430	2023-02-03	26	35	10:48	6:57	533020
431	2023-02-03	13	58	16:19	6:28	331290
432	2023-02-03	55	28	20:24	5:02	350070
433	2023-02-03	70	20	23:16	5:31	436080
434	2023-02-03	54	16	10:48	4:48	217600
435	2023-02-03	60	49	20:52	5:31	447810
436	2023-02-03	10	39	21:36	5:02	418110
437	2023-02-03	40	14	15:50	6:14	263900
438	2023-02-03	6	55	23:16	6:43	510440
439	2023-02-03	45	69	17:45	6:28	276480
440	2023-02-03	35	62	18:14	6:14	391040
441	2023-02-03	60	12	19:12	5:31	272090
442	2023-02-03	28	13	16:04	6:14	283920
443	2023-02-03	44	34	15:21	5:31	323840
444	2023-02-03	33	13	10:48	5:45	350640
445	2023-02-03	33	68	18:43	5:16	323620
446	2023-02-03	15	30	18:43	7:12	366600
447	2023-02-03	16	29	20:24	5:45	322560
448	2023-02-03	34	56	18:57	6:43	317800
449	2023-02-03	44	36	12:28	5:31	405950
450	2023-02-03	3	44	19:26	5:16	383680
451	2023-02-03	68	36	10:33	6:28	332370
452	2023-02-03	42	39	18:00	5:16	360360
453	2023-02-03	32	25	19:26	5:45	265200
454	2023-02-03	66	2	19:26	6:14	404560
455	2023-02-03	27	37	13:40	6:43	280280
456	2023-02-03	23	13	12:00	7:12	541800
457	2023-02-03	61	37	13:40	5:31	389390
458	2023-02-03	69	23	16:04	6:43	354200
459	2023-02-03	6	24	15:21	5:16	313940
460	2023-02-03	55	50	14:09	5:31	294400
461	2023-02-03	27	62	12:00	6:28	387990
462	2023-02-03	56	49	21:36	7:12	469200
463	2023-02-03	40	61	12:14	6:00	377500
464	2023-02-03	33	24	23:02	6:14	357500
465	2023-02-03	44	16	21:36	5:45	426000
466	2023-02-03	66	54	13:55	6:57	409480
467	2023-02-03	8	53	13:26	4:48	359200
468	2023-02-03	35	27	17:02	6:00	305500
469	2023-02-03	5	16	21:36	6:43	330400
470	2023-02-03	59	35	23:16	5:16	274780
471	2023-02-03	36	1	11:45	6:57	568980
472	2023-02-03	66	50	20:24	5:02	418110
473	2023-02-03	45	4	21:07	6:28	295650
474	2023-02-03	10	19	23:45	6:57	445440
475	2023-02-03	40	12	14:24	6:14	392600
476	2023-02-03	68	44	17:16	5:31	350060
477	2023-02-03	58	7	18:43	5:45	443280
478	2023-02-03	63	40	14:38	4:48	282800
479	2023-02-03	59	48	17:31	6:57	347420
480	2023-02-03	14	30	16:48	5:31	265880
481	2023-02-03	41	38	17:02	4:48	311400
482	2023-02-03	26	11	23:02	4:48	256200
483	2023-02-03	19	62	22:33	7:12	466500
484	2023-02-03	57	61	22:33	6:28	534060
485	2023-02-03	51	19	13:40	5:16	253660
486	2023-02-03	61	64	16:04	6:28	459810
487	2023-02-03	5	66	9:50	6:14	338780
488	2023-02-03	30	69	16:04	6:28	461430
489	2023-02-03	51	14	22:04	5:02	351960
490	2023-02-03	41	51	17:16	4:48	237200
491	2023-02-03	1	61	21:07	7:12	422100
492	2023-02-03	4	51	17:02	6:28	510300
493	2023-02-03	24	32	23:16	5:02	290850
494	2023-02-03	50	29	17:02	5:16	374440
495	2023-02-03	8	20	23:45	6:43	519960
496	2023-02-03	56	50	18:28	7:12	408300
497	2023-02-03	47	30	23:02	5:02	264600
498	2023-02-03	38	8	12:57	5:16	265320
499	2023-02-03	69	44	12:14	5:31	232760
500	2023-02-03	2	5	12:28	6:28	535950
501	2023-02-03	67	41	23:45	6:28	419580
502	2023-02-03	62	9	11:31	5:16	258720
503	2023-02-03	42	26	15:21	5:31	336490
504	2023-02-03	20	26	11:45	6:43	295400
505	2023-02-03	64	44	14:24	6:43	472920
506	2023-02-03	41	43	15:50	6:57	404840
507	2023-02-03	65	18	15:36	6:43	288120
508	2023-02-03	50	9	19:40	6:43	323120
509	2023-02-03	27	24	15:36	6:28	306450
510	2023-02-03	49	56	15:07	6:28	531630
511	2023-02-03	37	21	14:09	6:57	559120
512	2023-02-03	31	22	20:52	6:00	418500
513	2023-02-03	20	12	19:26	6:14	502840
514	2023-02-03	1	70	18:43	7:12	366600
515	2023-02-03	26	43	11:16	6:14	404820
516	2023-02-03	10	20	12:43	6:28	515160
517	2023-02-03	56	67	11:45	4:48	272600
518	2023-02-03	41	17	20:52	5:16	254980
519	2023-02-03	2	56	11:31	4:48	250400
520	2023-02-03	29	64	23:45	5:45	463440
521	2023-02-03	16	65	21:21	6:28	385290
522	2023-02-03	21	4	10:33	6:57	464580
523	2023-02-03	18	43	12:00	5:16	361020
524	2023-02-03	68	55	10:33	7:12	333000
525	2023-02-03	52	29	16:48	5:16	253660
526	2023-02-03	24	39	12:00	5:45	433200
527	2023-02-03	7	39	15:50	4:48	396000
528	2023-02-03	59	62	22:48	5:16	410080
529	2023-02-03	68	50	18:57	5:16	272360
530	2023-02-03	43	2	12:00	6:14	337480
531	2023-02-03	25	32	18:43	5:16	275220
532	2023-02-03	69	45	18:00	6:28	383670
533	2023-02-03	15	18	10:48	5:16	367180
534	2023-02-03	12	11	20:24	6:00	492000
535	2023-02-03	65	6	18:43	4:48	384400
536	2023-02-03	27	4	19:55	6:43	386680
537	2023-02-03	62	11	21:07	6:43	360920
538	2023-02-03	55	51	17:16	6:14	323180
539	2023-02-03	17	54	21:07	7:12	393900
540	2023-02-03	18	32	17:16	7:12	360000
541	2023-02-04	36	35	12:57	6:14	263120
542	2023-02-04	50	7	20:09	5:16	402600
543	2023-02-04	53	19	11:02	6:43	541520
544	2023-02-04	27	21	23:31	5:16	355520
545	2023-02-04	28	35	22:04	6:57	519100
546	2023-02-04	15	69	19:55	6:00	443750
547	2023-02-04	37	1	13:26	4:48	243600
548	2023-02-04	68	7	18:00	6:28	328320
549	2023-02-04	11	43	11:45	6:28	390150
550	2023-02-04	14	64	19:26	6:28	514620
551	2023-02-04	13	50	22:48	7:12	450900
552	2023-02-04	34	20	15:50	6:28	284580
553	2023-02-04	51	61	20:24	5:45	367680
554	2023-02-04	59	37	18:28	5:45	367440
555	2023-02-04	54	8	17:31	6:00	488500
556	2023-02-04	51	24	22:04	4:48	226000
557	2023-02-04	50	8	23:45	5:02	291270
558	2023-02-04	32	48	16:19	5:31	293940
559	2023-02-04	49	33	11:31	5:16	258720
560	2023-02-04	56	32	17:16	6:43	287840
561	2023-02-04	2	58	10:19	4:48	345600
562	2023-02-04	6	69	21:36	6:28	309150
563	2023-02-04	60	21	9:50	6:57	428330
564	2023-02-04	52	45	15:21	5:16	249480
565	2023-02-04	46	16	16:19	5:45	303360
566	2023-02-04	23	52	18:00	6:14	493220
567	2023-02-04	57	20	23:02	6:00	336750
568	2023-02-04	50	26	9:50	6:57	428330
569	2023-02-04	6	25	19:55	5:02	376740
570	2023-02-04	56	29	13:55	5:31	349370
571	2023-02-04	8	30	19:26	6:43	446040
572	2023-02-04	44	26	19:55	6:14	459940
573	2023-02-04	9	67	22:04	6:57	519100
574	2023-02-04	50	42	19:12	6:57	341040
575	2023-02-04	3	44	18:43	6:14	505180
576	2023-02-04	25	28	11:31	6:00	472250
577	2023-02-04	25	69	21:21	6:43	339920
578	2023-02-04	59	55	18:57	7:12	465900
579	2023-02-04	62	34	12:28	5:45	309840
580	2023-02-04	17	66	10:33	7:12	318600
581	2023-02-04	25	41	23:16	6:28	470610
