r_no	u_no	s_no	income	expense
601	175	14079	13526	0
602	115	6473	12173	0
603	154	3759	8115	0
604	199	3470	24347	0
605	58	4066	1352	0
606	210	2299	1932	0
607	195	1341	0	16908
608	20	276	4637	0
609	16	10272	2318	0
610	120	12132	31884	0
611	27	14018	18067	0
612	9	2801	27053	0
613	205	14303	7439	0
614	46	10534	2512	0
615	155	4064	32657	0
616	138	11909	15072	0
617	83	1095	3478	0
618	99	1665	13526	0
619	193	8588	5797	0
620	184	10312	20869	0
621	84	1163	579	0
622	156	2399	2705	0
623	16	1871	2318	0
624	32	5115	9468	0
625	147	15146	0	7536
626	47	6506	2318	0
627	80	10820	5217	0
628	165	9596	30144	0
629	33	10715	3864	0
630	47	10578	1159	0
631	189	3196	10144	0
632	173	11698	4251	0
633	23	2748	11594	0
634	151	13091	483	0
635	64	2447	869	0
636	56	9400	8115	0
637	53	341	5797	0
638	162	4419	3285	0
639	55	13665	6376	0
640	122	15442	24347	0
641	171	1289	39227	0
642	189	3443	966	0
643	130	9232	13043	0
644	138	12140	0	8695
645	33	1455	40579	0
646	143	4133	2705	0
647	143	5458	19323	0
648	182	8767	15942	0
649	208	2625	6086	0
650	89	4858	4444	0
651	110	8179	1159	0
652	43	14544	6086	0
653	200	2572	23864	0
654	212	2184	676	0
655	24	1577	386	0
656	15	7986	4927	0
657	169	12298	27632	0
658	84	4717	25120	0
659	107	1570	3478	0
660	166	2477	2705	0
661	72	8941	3188	0
662	122	3572	11594	0
663	73	9693	29758	0
664	216	11382	39130	0
665	39	10695	5797	0
666	112	9536	0	1545
667	71	14906	5217	0
668	186	8231	16231	0
669	27	182	12560	0
670	94	4598	2705	0
671	100	10498	26086	0
672	5	13483	0	869
673	181	97	34782	0
674	142	4322	10434	0
675	180	7392	483	0
676	189	1944	12367	0
677	122	7695	16811	0
678	101	15507	1835	0
679	109	2939	11594	0
680	158	8085	1159	0
681	80	6934	8502	0
682	1	3608	7439	0
683	60	5975	22608	0
684	207	1510	193	0
685	118	7732	7246	0
686	107	15258	2318	0
687	132	14303	6956	0
688	2	13682	25120	0
689	142	11702	3091	0
690	24	1903	9275	0
691	145	10302	1352	0
692	118	9386	4251	0
693	160	5716	28888	0
694	196	6436	13526	0
695	181	15298	12753	0
696	146	6849	0	6086
697	94	12512	0	0
698	171	7046	5797	0
699	142	10476	676	0
700	190	66	10434	0
701	177	12763	772	0
702	177	3643	772	0
703	7	13510	40579	0
704	45	5590	26086	0
705	117	5854	1352	0
706	102	646	2028	0
707	113	4107	8115	0
708	97	3442	42028	0
709	150	14316	2028	0
710	14	6190	5024	0
711	74	1979	16908	0
712	185	13522	21642	0
713	126	9367	21352	0
714	115	15173	1159	0
715	119	5854	3285	0
716	83	9013	13043	0
717	61	292	3864	0
718	28	11209	20869	0
719	34	4848	11497	0
720	41	344	8695	0
721	123	8673	3864	0
722	72	10636	869	0
723	51	4820	8695	0
724	193	11448	33816	0
725	160	2706	6570	0
726	159	12604	8115	0
727	111	13729	8212	0
728	129	14306	31304	0
729	173	14713	19130	0
730	127	6523	0	28888
731	120	13636	8502	0
732	77	15053	0	8792
733	53	7089	11594	0
734	39	4404	6376	0
735	91	11792	2028	0
736	212	8287	0	0
737	38	10741	1352	0
738	58	12312	22318	0
739	133	13818	0	0
740	150	9822	12173	0
741	179	6949	4637	0
742	152	8465	0	1159
743	46	14926	10434	0
744	208	652	13913	0
745	53	9846	8115	0
746	151	1965	6570	0
747	50	1282	6956	0
748	9	10097	40579	0
749	156	11447	22222	0
750	5	899	19613	0
751	35	5999	9178	0
752	7	11696	0	8502
753	66	6574	16231	0
754	190	7372	6086	0
755	14	7790	17391	0
756	168	1628	16425	0
757	94	2239	14492	0
758	111	13172	15942	0
759	184	5357	7729	0
760	42	607	4830	0
761	126	12094	19130	0
762	43	1163	28888	0
763	71	8578	2608	0
764	101	908	29758	0
765	206	990	10048	0
766	128	11685	0	8115
767	189	3755	26086	0
768	202	6803	2898	0
769	215	7399	5217	0
770	96	3100	28695	0
771	194	6211	6956	0
772	209	9478	40579	0
773	170	13104	4057	0
774	24	3344	0	8212
775	170	5097	15072	0
776	152	7614	12367	0
777	194	11307	8695	0
778	99	5688	3478	0
779	190	998	3478	0
780	19	8543	772	0
781	212	10316	0	27632
782	202	15397	14202	0
783	81	14607	3478	0
784	149	10227	0	12173
785	8	82	9661	0
786	17	8543	6086	0
787	95	3954	4347	0
788	40	13636	33333	0
789	165	15351	2318	0
790	192	8098	1449	0
791	88	1499	7826	0
792	108	8829	13913	0
793	54	10792	22222	0
794	3	9381	28985	0
795	67	6804	10434	0
796	79	3586	11594	0
797	32	4586	15072	0
798	205	10752	7826	0
799	23	8528	1835	0
800	11	9306	11594	0
801	202	11140	5797	0
802	201	279	5797	0
803	210	7934	0	13043
804	156	13900	9178	0
805	157	8199	23381	0
806	211	10043	1932	0
807	124	9203	1159	0
808	158	11776	24347	0
809	32	10405	15072	0
810	134	14820	10434	0
811	150	13964	4251	0
812	62	9497	15072	0
813	184	6137	27632	0
814	99	9578	0	10434
815	45	8075	4251	0
816	52	11842	31111	0
817	106	5086	1449	0
818	30	13210	20193	0
819	82	15139	0	12077
820	90	4811	17391	0
821	11	11135	9661	0
822	67	2250	1932	0
823	208	4974	0	20869
824	113	143	0	676
825	215	10884	5410	0
826	115	13245	5797	0
827	153	14556	772	0
828	167	11688	15072	0
829	6	14987	0	2222
830	161	12675	5797	0
831	110	14443	25120	0
832	56	12473	0	35169
833	208	10420	37681	0
834	32	8641	5797	0
835	59	10911	2512	0
836	184	4880	2608	0
837	136	11753	9661	0
838	121	1979	5410	0
839	24	3417	6183	0
840	129	13571	9468	0
841	113	11268	24154	0
842	93	1928	10628	0
843	158	10651	16231	0
844	120	977	9468	0
845	42	11924	8115	0
846	130	3900	5797	0
847	205	10999	25507	0
848	128	11820	11594	0
849	28	4109	1256	0
850	82	3466	23188	0
851	149	5641	4734	0
852	6	774	3091	0
853	104	289	579	0
854	64	1570	0	0
855	163	7293	18260	0
856	150	9494	17584	0
857	179	863	39227	0
858	160	1133	16425	0
859	81	6054	7826	0
860	163	7119	1449	0
861	53	4641	16231	0
862	48	954	4637	0
863	87	1354	28695	0
864	50	5495	2318	0
865	217	7736	0	8502
866	50	13075	4057	0
867	119	9112	22608	0
868	59	943	28985	0
869	158	2826	28985	0
870	103	3712	33623	0
871	49	11963	3091	0
872	121	3276	6280	0
873	15	14160	4251	0
874	192	12067	17391	0
875	185	405	15652	0
876	131	12742	22995	0
877	132	10118	289	0
878	143	3511	10048	0
879	217	4002	0	21256
880	196	11133	2028	0
881	88	14656	0	20289
882	91	1513	15458	0
883	217	1895	2318	0
884	105	15112	42028	0
885	215	5697	5797	0
886	39	3528	10144	0
887	105	4805	7439	0
888	172	9797	1932	0
889	130	9623	2608	0
890	89	328	5217	0
891	184	6523	19323	0
892	110	12644	4057	0
893	14	3023	4927	0
894	96	5399	16908	0
895	168	2630	869	0
896	142	8806	2512	0
897	148	7620	6956	0
898	191	15078	18840	0
899	14	9813	17584	0
900	133	5106	36521	0
901	161	8483	1159	0
902	137	3358	6763	0
903	67	1463	0	0
904	68	8030	26570	0
905	187	11831	2705	0
906	153	13058	386	0
907	210	1784	18067	0
908	107	11633	11594	0
909	122	3830	0	17584
910	83	15100	4830	0
911	48	7441	3864	0
912	91	10217	772	0
913	177	3982	7729	0
914	211	2778	5217	0
915	114	414	2705	0
916	185	12970	27632	0
917	132	2577	869	0
918	153	12649	27536	0
919	15	13834	19613	0
920	38	13165	17391	0
921	18	5278	21739	0
922	102	9560	9178	0
923	131	11676	15652	0
924	4	8537	21642	0
925	65	10791	22222	0
926	134	1914	37681	0
927	157	10856	1062	0
928	211	1173	18937	0
929	196	9670	966	0
930	123	475	23188	0
931	157	9776	19323	0
932	146	11917	13043	0
933	21	844	0	772
934	135	8707	1159	0
935	208	11764	9661	0
936	170	9834	5217	0
937	185	9697	0	1256
938	147	8029	23864	0
939	214	11845	0	0
940	174	14625	1062	0
941	181	2463	0	14202
942	124	9002	1159	0
943	28	7355	2512	0
944	146	3139	0	0
945	11	5693	17391	0
946	138	3461	0	2898
947	152	1594	8212	0
948	113	5347	4251	0
949	86	13034	13913	0
950	199	11081	11594	0
951	151	5587	10144	0
952	183	15210	24347	0
953	19	728	2512	0
954	67	13251	20869	0
955	39	14673	2608	0
956	180	13221	17391	0
957	172	785	19323	0
958	3	10461	869	0
959	200	432	5797	0
960	204	14176	27536	0
961	107	6445	34782	0
962	179	5776	35169	0
963	194	13800	8792	0
964	9	14841	10821	0
965	80	10230	8695	0
966	114	12405	0	12753
967	157	720	18357	0
968	78	12700	6376	0
969	210	13867	772	0
970	67	12021	31304	0
971	170	12230	13043	0
972	2	8288	2512	0
973	145	2784	15942	0
974	49	9767	5314	0
975	103	12755	0	10821
976	51	2396	22318	0
977	8	11266	27826	0
978	95	2074	22608	0
979	29	6917	5410	0
980	163	361	1159	0
981	54	2097	19613	0
982	140	13805	11594	0
983	115	14457	869	0
984	154	10639	40579	0
985	98	9549	11594	0
986	159	2032	11594	0
987	14	15458	2415	0
988	125	12181	869	0
989	36	7622	31400	0
990	33	13119	28405	0
991	4	5522	5217	0
992	170	1131	23188	0
993	61	1221	20000	0
994	76	2654	3091	0
995	160	12357	16908	0
996	172	6560	2028	0
997	217	366	31111	0
998	100	2933	4347	0
999	178	5349	3478	0
1000	7	10931	2318	0
1001	34	11946	0	579
1002	36	11723	9661	0
1003	169	409	8115	0
1004	186	6298	8695	0
1005	174	4310	1932	0
1006	41	549	13140	0
1007	136	863	7826	0
1008	130	8933	34782	0
1009	62	11064	37681	0
1010	14	9685	289	0
1011	29	11274	1159	0
1012	189	10235	2125	0
1013	9	4428	17391	0
1014	204	12231	0	9565
1015	179	10998	5410	0
1016	96	14331	5797	0
1017	202	5311	31884	0
1018	33	1047	26570	0
1019	90	14272	2898	0
1020	180	1127	11594	0
1021	129	1310	11594	0
1022	104	11089	386	0
1023	199	8493	20096	0
1024	83	8719	0	0
1025	96	2021	7729	0
1026	171	12695	40579	0
1027	26	6474	5410	0
1028	207	5170	18937	0
1029	80	8829	6666	0
1030	62	14417	6956	0
1031	8	4340	966	0
1032	61	13196	11304	0
1033	149	5262	0	23188
1034	97	14095	6086	0
1035	125	1905	13913	0
1036	120	10981	0	386
1037	156	11144	386	0
1038	39	2442	4637	0
1039	200	10362	772	0
1040	77	11424	0	20289
1041	42	15242	16425	0
1042	141	2171	30144	0
1043	46	4848	2318	0
1044	183	9307	0	17391
1045	156	9359	1449	0
1046	31	15550	3091	0
1047	111	12685	5217	0
1048	145	4109	16328	0
1049	15	13987	5217	0
1050	9	1592	1159	0
1051	72	4310	7246	0
1052	13	4185	772	0
1053	196	513	9275	0
1054	117	14356	2222	0
1055	194	9487	30144	0
1056	92	3464	1449	0
1057	179	5957	3768	0
1058	49	3797	5217	0
1059	160	8503	25700	0
1060	126	12195	5507	0
1061	5	12440	22608	0
1062	77	3328	37681	0
1063	40	2438	869	0
1064	21	4091	21642	0
1065	48	867	3864	0
1066	177	6390	4830	0
1067	131	8558	20289	0
1068	147	5152	4637	0
1069	133	8639	8792	0
1070	93	10709	0	3864
1071	16	5308	5410	0
1072	168	4659	966	0
1073	84	981	579	0
1074	131	963	14009	0
1075	12	13068	2125	0
1076	139	11653	4637	0
1077	187	6960	19710	0
1078	60	10256	25120	0
1079	57	4829	26666	0
1080	95	694	10144	0
1081	143	14499	5410	0
1082	154	799	11594	0
1083	154	559	1932	0
1084	108	15081	0	19613
1085	51	4903	13043	0
1086	3	7488	15072	0
1087	58	7598	1449	0
1088	47	3780	0	10048
1089	67	13182	9468	0
1090	67	14917	1352	0
1091	181	8657	4637	0
1092	89	3017	11014	0
1093	149	4071	9468	0
1094	9	10465	13526	0
1095	198	817	11304	0
1096	194	2063	1352	0
1097	43	2366	9468	0
1098	162	6249	12560	0
1099	99	6650	1739	0
1100	171	10315	4637	0
1101	23	4145	11111	0
1102	101	7312	6666	0
1103	171	875	7246	0
1104	212	218	3091	0
1105	144	203	8695	0
1106	208	3456	3188	0
1107	144	4350	7729	0
1108	170	2189	4637	0
1109	172	2722	11594	0
1110	53	11431	8695	0
1111	149	10575	33913	0
1112	113	14984	966	0
1113	59	3099	7246	0
1114	123	2135	0	8502
1115	185	7602	5314	0
1116	144	11929	33333	0
1117	113	716	0	5507
1118	49	9704	5410	0
1119	32	5239	31111	0
1120	92	498	6666	0
1121	132	12709	3671	0
1122	126	6053	676	0
1123	214	15018	34782	0
1124	194	10546	13913	0
1125	183	14943	22608	0
1126	56	9766	11690	0
1127	45	4173	2608	0
1128	204	14259	16425	0
1129	209	8229	6763	0
1130	158	8612	0	20869
1131	161	11068	9855	0
1132	30	2615	10048	0
1133	106	2432	5217	0
1134	128	2778	8695	0
1135	190	5067	28695	0
1136	111	1223	9661	0
1137	70	11306	9855	0
1138	76	9856	9661	0
1139	78	7910	6956	0
1140	163	13345	15072	0
1141	156	7499	14009	0
1142	111	2140	17391	0
1143	158	6437	13526	0
1144	60	1472	10821	0
1145	187	14120	8695	0
1146	164	13149	1352	0
1147	22	9671	4347	0
1148	85	4274	13913	0
1149	10	4104	3864	0
1150	142	13664	4251	0
1151	46	13801	14782	0
1152	110	3607	12367	0
1153	109	15525	2028	0
1154	12	5591	7439	0
1155	154	5746	14492	0
1156	56	3177	33913	0
1157	2	5146	9855	0
1158	86	12570	9661	0
1159	112	6442	0	2318
1160	83	12565	5410	0
1161	175	7010	1932	0
1162	25	10857	17004	0
1163	182	15089	10434	0
1164	91	4879	4251	0
1165	150	6436	21256	0
