r_no	u_no	b_no	r_date	r_count	r_reading	r_returnDay
80	13	49	2023-03-18	5	181	2023-03-23
81	17	49	2023-03-18	1	9	2023-03-19
82	4	8	2023-03-18	0	106	2023-03-18
83	9	82	2023-03-18	6	13	2023-03-24
84	5	87	2023-03-18	5	108	2023-03-23
85	1	50	2023-03-18	1	98	2023-03-19
86	14	65	2023-03-18	0	241	2023-03-18
87	3	76	2023-03-19	6	101	
88	5	49	2023-03-19	6	362	
89	8	42	2023-03-19	6	98	
90	12	7	2023-03-19	6	168	
91	13	83	2023-03-19	5	396	2023-03-24
92	1	11	2023-03-19	2	123	2023-03-21
93	12	68	2023-03-19	2	417	2023-03-21
94	7	20	2023-03-19	5	171	2023-03-24
95	19	95	2023-03-19	2	502	2023-03-21
96	7	44	2023-03-19	2	145	2023-03-21
97	9	83	2023-03-21	4	514	
98	14	17	2023-03-21	4	88	
99	11	33	2023-03-21	6	55	2023-03-27
100	17	39	2023-03-21	1	92	2023-03-22
101	4	97	2023-03-21	1	9	2023-03-22
102	9	55	2023-03-21	0	327	2023-03-21
103	17	49	2023-03-21	0	200	2023-03-21
104	15	68	2023-03-21	0	337	2023-03-21
105	8	56	2023-03-21	6	365	2023-03-27
106	16	5	2023-03-21	1	253	2023-03-22
107	8	80	2023-03-21	1	168	2023-03-22
108	18	40	2023-03-21	0	142	2023-03-21
109	16	14	2023-03-21	0	149	2023-03-21
110	6	82	2023-03-21	0	82	2023-03-21
111	2	45	2023-03-22	0	103	
112	18	84	2023-03-22	1	312	
113	17	17	2023-03-22	4	68	2023-03-26
114	1	55	2023-03-22	1	404	2023-03-23
115	17	81	2023-03-22	0	32	2023-03-22
116	18	16	2023-03-22	4	234	2023-03-26
117	20	65	2023-03-22	1	131	2023-03-23
118	10	42	2023-03-22	0	312	2023-03-22
119	11	84	2023-03-23	6	165	2023-03-29
120	13	84	2023-03-23	5	194	2023-03-28
121	11	97	2023-03-23	4	103	2023-03-27
122	8	31	2023-03-23	4	298	2023-03-27
123	9	76	2023-03-23	3	129	2023-03-26
124	13	53	2023-03-23	3	39	2023-03-26
125	4	78	2023-03-23	6	53	2023-03-29
126	18	62	2023-03-23	5	227	2023-03-28
127	19	45	2023-03-23	4	7	2023-03-27
128	2	69	2023-03-23	4	64	2023-03-27
129	4	36	2023-03-23	3	229	2023-03-26
130	18	10	2023-03-23	3	185	2023-03-26
131	16	63	2023-03-24	0	232	
132	1	27	2023-03-24	6	55	2023-03-30
133	17	17	2023-03-24	4	44	2023-03-28
134	9	76	2023-03-24	3	284	2023-03-27
135	4	17	2023-03-24	2	49	2023-03-26
136	1	83	2023-03-24	2	265	2023-03-26
137	7	75	2023-03-24	6	85	2023-03-30
138	18	12	2023-03-24	4	378	2023-03-28
139	7	63	2023-03-24	3	397	2023-03-27
140	14	28	2023-03-24	2	356	2023-03-26
141	1	69	2023-03-24	2	257	2023-03-26
142	3	60	2023-03-25	0	214	
143	2	18	2023-03-25	0	93	
144	7	79	2023-03-25	0	117	
145	9	55	2023-03-25	0	274	
146	13	49	2023-03-25	0	417	
147	15	45	2023-03-25	0	45	
148	17	8	2023-03-25	0	165	
149	20	86	2023-03-25	0	214	
150	11	49	2023-03-25	4	212	
151	16	48	2023-03-25	4	53	
152	6	9	2023-03-25	5	473	2023-03-30
153	1	65	2023-03-25	5	200	2023-03-30
154	1	76	2023-03-25	1	357	2023-03-26
155	12	69	2023-03-25	5	47	2023-03-30
156	3	71	2023-03-25	5	67	2023-03-30
157	5	39	2023-03-25	1	52	2023-03-26
158	6	68	2023-03-26	2	165	
159	6	47	2023-03-26	1	103	
160	8	11	2023-03-26	0	33	
161	9	49	2023-03-26	2	28	
162	12	80	2023-03-26	1	243	
163	12	41	2023-03-26	2	92	
164	12	61	2023-03-26	2	490	
165	14	75	2023-03-26	1	18	
166	15	66	2023-03-26	2	89	
167	17	83	2023-03-26	0	186	
168	18	50	2023-03-26	2	82	
169	19	74	2023-03-26	1	152	
170	1	14	2023-03-22	0	227	
171	7	80	2023-03-27	3	81	
172	7	86	2023-03-27	0	255	
173	7	4	2023-03-27	2	136	
174	12	23	2023-03-27	3	191	
175	12	26	2023-03-27	0	232	
176	1	61	2023-03-28	4	62	
177	2	96	2023-03-28	6	14	
178	4	49	2023-03-28	2	345	
179	4	81	2023-03-28	0	52	
180	6	81	2023-03-28	2	281	
181	8	9	2023-03-28	0	209	
182	8	19	2023-03-28	0	53	
183	9	39	2023-03-28	4	41	
184	13	49	2023-03-28	6	365	
185	13	84	2023-03-28	4	93	
186	15	73	2023-03-28	4	272	
187	18	87	2023-03-28	0	261	
188	1	59	2023-03-29	0	85	
189	4	58	2023-03-29	6	55	
190	6	13	2023-03-29	4	3	
191	11	39	2023-03-29	4	34	
192	11	49	2023-03-29	0	201	
193	13	17	2023-03-29	6	62	
194	4	97	2023-03-30	0	35	
195	5	15	2023-03-30	0	218	
196	11	49	2023-03-30	0	337	
197	13	8	2023-03-30	3	39	
198	13	99	2023-03-30	0	87	
199	13	21	2023-03-30	0	162	
200	13	70	2023-03-30	0	99	
201	20	20	2023-03-30	3	210	
202	4	85	2023-03-31	6	232	
203	4	48	2023-03-31	5	270	
204	9	17	2023-03-31	2	100	
205	12	26	2023-03-31	6	8	
206	13	97	2023-03-31	6	37	
207	13	76	2023-03-31	3	360	
208	17	83	2023-03-31	6	313	
209	17	17	2023-03-31	5	2	
210	17	42	2023-03-31	2	270	
211	18	78	2023-03-31	3	65	
212	1	78	2023-04-01	1	150	
213	1	97	2023-04-01	1	68	
214	1	81	2023-04-01	1	133	
215	2	95	2023-04-01	5	388	
216	4	10	2023-04-01	1	282	
217	8	95	2023-04-01	0	277	
218	8	94	2023-04-01	1	181	
219	8	40	2023-04-01	0	170	
220	11	55	2023-04-01	4	439	
221	13	49	2023-04-01	5	318	
222	13	90	2023-04-01	1	3	
223	16	49	2023-04-01	5	317	
224	17	4	2023-04-01	5	287	
225	17	27	2023-04-01	5	275	
226	18	35	2023-04-01	5	203	
227	20	83	2023-04-01	4	294	
228	1	33	2023-04-02	6	40	
229	1	15	2023-04-02	3	368	
230	1	7	2023-04-02	3	265	
231	1	90	2023-04-02	1	103	
232	3	65	2023-04-02	0	1	
233	3	22	2023-04-02	0	302	
234	4	76	2023-04-02	6	51	
235	4	39	2023-04-02	1	29	
236	4	63	2023-04-02	3	377	
237	5	26	2023-04-02	3	70	
238	7	9	2023-04-02	0	221	
239	7	70	2023-04-02	3	277	
240	7	33	2023-04-02	1	170	
241	9	55	2023-04-02	6	268	
242	11	32	2023-04-02	1	215	
243	11	53	2023-04-02	0	149	
244	11	94	2023-04-02	0	237	
245	12	80	2023-04-02	0	33	
246	12	54	2023-04-02	1	114	
247	13	65	2023-04-02	1	91	
248	14	11	2023-04-02	6	113	
249	17	17	2023-04-02	3	72	
250	17	77	2023-04-02	6	43	
251	18	7	2023-04-02	0	158	
252	20	59	2023-04-02	6	181	
253	1	85	2023-04-03	2	275	
254	1	79	2023-04-03	2	54	
255	1	56	2023-04-03	0	182	
256	1	37	2023-04-03	0	69	
257	2	9	2023-04-03	0	485	
258	2	26	2023-04-03	4	200	
259	3	97	2023-04-03	0	33	
260	3	87	2023-04-03	0	64	
261	3	39	2023-04-03	0	52	
262	4	83	2023-04-03	2	412	
263	4	35	2023-04-03	0	188	
264	4	49	2023-04-03	0	459	
265	5	63	2023-04-03	0	125	
266	6	25	2023-04-03	2	491	
267	8	15	2023-04-03	0	203	
268	8	39	2023-04-03	0	18	
269	9	97	2023-04-03	3	61	
270	9	17	2023-04-03	0	40	
271	9	35	2023-04-03	0	194	
272	10	60	2023-04-03	0	75	
273	11	49	2023-04-03	4	418	
274	11	60	2023-04-03	0	23	
275	11	97	2023-04-03	0	9	
276	11	12	2023-04-03	2	177	
277	11	13	2023-04-03	0	36	
278	11	32	2023-04-03	0	362	
279	12	18	2023-04-03	0	45	
280	12	80	2023-04-03	0	9	
281	12	4	2023-04-03	0	196	
282	13	8	2023-04-03	0	423	
283	13	61	2023-04-03	0	568	
284	13	20	2023-04-03	0	239	
285	13	78	2023-04-03	0	22	
286	13	36	2023-04-03	0	343	
287	14	97	2023-04-03	0	25	
288	14	48	2023-04-03	2	330	
289	15	31	2023-04-03	0	438	
290	15	94	2023-04-03	0	256	
291	15	14	2023-04-03	0	14	
292	15	69	2023-04-03	0	141	
293	16	35	2023-04-03	0	23	
294	16	48	2023-04-03	0	304	
295	17	49	2023-04-03	0	159	
296	17	17	2023-04-03	0	8	
297	17	39	2023-04-03	0	72	
298	17	86	2023-04-03	0	270	
299	18	66	2023-04-03	0	4	
300	18	10	2023-04-03	0	114	
301	19	62	2023-04-03	0	18	
302	19	39	2023-04-03	0	5	
