b_no	b_name	b_division	b_author	b_count	b_page	b_exp
53	공학이란 무엇인가	6	성풍현	2	216	공학이란 무엇인가
54	건축공학의 이해	6	정순오, 정세환	4	128	건축공학의 이해
55	쉽게 배우는 기계공학 개론	6	유주식	7	506	쉽게 배우는 기계공학 개론
56	전기전자공학개론	6	Stan Gibilisco, Simo	1	492	전기전자공학개론
57	화학공학	6	임굉	9	214	화학공학
58	제조업 다시보기	6	오은주, 김범식	7	229	제조업 다시보기
59	생활 과학의 이해	6	서울대학교생활과학대학 교재개발위원회	9	195	생활 과학의 이해
60	의학의 미래	6	토마스 슐츠	5	353	의학의 미래
61	남아 있는 역사, 사라지는 건축물	7	김정동	8	571	남아 있는 역사, 사라지는 건축물
62	지중해 조형예술	7	지중해지역원	10	245	지중해 조형예술
63	금속공예 기법	7	전용일	3	399	금속공예 기법
64	정통한글서예	7	전통한글서예교실	6	560	정통한글서예
65	도화만발	7	최석조	6	241	도화만발
66	20세기 사진 예술	7	퀼른 루트비히 미술관	7	114	20세기 사진 예술
67	예술 속의 파르마콘	7	허문영	9	302	예술 속의 파르마콘
68	공연예술 마케팅	7	조앤 셰프 번스타인	1	526	공연예술 마케팅은 예술 조직에 필요한 최신 마케팅 전략과 기술을 담은 길잡이다. 고객서비스, 시장 조사, 가격 책정 전략까지, 역동적인 온라인 비즈니스 환경에서 살아남는 장기적인 마케...
69	나쁜 골프	7	강찬욱	10	298	나쁜 골프
70	세상엔 알고 싶은 건축물이 너무도 많아	7	스기모토 다쓰히코	2	387	파리의 상징 에펠탑이 정작 파리 시민들에게는 기피 대상이었던 까닭은? 고대 로마 판테온의 초대형 돔을 가능하게 만든 상상 밖의 재료는 무엇일까? 마리 앙투아네트가 베르사유 궁전에서 가...
71	그림으로 배우는 한국어	8	서경숙	3	454	이주 여성과 이주 노동자를 위한 교재로, 일상생활과 자신이 쉽게 접하는 가정이나 작업장에서 필요한 어휘를 통해 한국어 학습이 가능하도록 유도한 책이다. 문법은 초급 문법 위주로 어휘와...
72	해커스 중국어 TSC 3급	8	해커스 중국어연구소	3	496	해커스 중국어 TSC 3급
73	일본어 문법 무작정 따라하기	8	후지이 아사리	10	485	일본어 문법 무작정 따라하기
74	거의 모든 행동 표현의 영어	8	서영조	6	334	사람들이 하는 대화의 대부분은 자신들이 과거에 했고 현재에 하고 있고 미래에 할 행동들입니다. 영어라고 크게 다를까요? 영화, 미드, 영어 소설과 에세이 등에서 쏟아져 나오는 것들 역시 ...
75	한번에 끝내는 독일어 문법(초중급편)	8	안희철	8	128	한번에 끝내는 독일어 문법(초중급편)
76	주미에르의 10시간 프랑스어 첫걸음	8	노민주(주미에르)	6	432	16만 프랑스인에게 사랑받는 유튜버 주미에르가 완전히 새로운 프랑스어 첫걸음서를 선보인다. 누구나 쉽고 가볍게 프랑스어를 시작할 수 있는 책으로, 10시간만 투자하면 Bonjour부터 생활회화...
77	대학 스페인어 문법	8	한국외국어대학교 스페인어과	5	184	대학 스페인어 문법
78	이탈리아어 회화 사전	8	조문환	4	152	역사와 문화, 예술이 살아 숨 쉬는 아름다운 이탈리아.『이탈리아어 회화 사전』은 그런 이탈리아로 떠난 여행자가 겪을 수 있는 여러 상황에 사용될 가능한 표현들을 담고 있다.
79	영어 회화의 결정적 단어들	8	서영조	4	199	영어 회화의 결정적 단어들
80	영어 필사 100일의 기적	8	퍼포먼스 코치 리아	4	335	영어 필사 100일의 기적
81	페인트	9	이희영	8	281	페인트
82	아름다운 중국문학	9	권용호	5	350	아름다운 중국문학
83	인간 실격	9	다자이 오사무	9	530	이 책은 중국문학을 다룬 이론서입니다. 중국문학의 기초적이고 전반적인 내용을 학습할 수 있도록 구성했습니다.
84	동물농장	9	조지 오웰	7	404	동물농장
85	내가 사랑한 독일 문학	9	김연정	3	454	내가 사랑한 독일 문학
86	물 난리, 한밤중의 탄생 판타지 여행	9	폴린 들라브루와-알라르	7	276	물 난리, 한밤중의 탄생 판타지 여행
87	스페인 문학의 풍경과 내면	9	전기순	9	496	스페인 문학의 풍경과 내면
88	첨벙!	9	베로니카 카라텔로	4	573	지은이는 지난 백 년 동안의 스페인 문학에서 핵심적인 작품들과 작가들을 선택한 다음, 자신이 생각하는 형태로 글을 만들어보고 싶어 이 책을 기획했다. 본인이 좋아하고, 자주 강의에 써 먹...
89	10대를 위한 나의 첫 고전 읽기 수업	9	박균호	7	247	10대를 위한 나의 첫 고전 읽기 수업
90	프랑스어 문학과 현대성의 인식	9	오생근	4	196	프랑스어 문학과 현대성의 인식
91	아시아의 역사	10	서병국	5	329	아시아의 역사
92	발칸 유럽 역사 산책	10	이기성	1	407	유럽 대륙 끝자락에 붙어 있는 발칸반도 여행 에세이 [발칸 유럽 역사 산책]. 발칸반도의 여러 나라들과 명소들을 여행하면서, 그곳이 지니고 있는 특별한 이야기들, 그 도시들과 나라들이 살...
93	처음 읽는 아프리카의 역사	10	루츠 판 다이크	3	102	아프리카의 다채로운 역사를 있는 그대로 보여주는 책. 균형 잡힌 공정한 시각에서 아프리카의 모습을 서술하고 있다. 아프리카의 역사를 시간의 흐름에 따라 서술하면서 아프리카 사람의 말...
94	아시아 역사	10	아서 코터렐	10	428	아시아 역사
95	동아시아 엑스포의 역사	10	하세봉	9	502	동아시아 엑스포의 역사
96	현대 유럽의 역사	10	앨버트 S. 린드먼	5	174	한국에서는 2012년 여수박람회가 열렸고, 2020년에는 두바이 엑스포가 열린다. 2025년 세계박람회 개최지로는 오사카가 선정됐다. 박람회를 유치하고 개최하는 데 국가적으로 엄청난 비용이 들지...
97	유럽 역사에서 본 로마법	10	피터 스타인	9	142	로마법은 유럽의 법과 정치, 사상과 문화 전반에 지대한 영향을 미쳤으며, 여러 세기에 걸쳐 ‘유럽 공통의 문화’가 생겨나는 데 중요한 역할을 했다. 로마법 연구의 중심지는 시대에 따라 이...
98	전기의 역사	10	이봉희	4	231	전기의 역사
99	잊혀진 우리 이야기, 아시아 기독교 역사	10	김흥수	2	366	초기 아시아 선교 운동을 통해 설립된 교회, 근현대 서구 선교 운동을 통해 탄생된 교회, 아시아교회의 민족복음화 운동 및 세계 선교운동을 통해 생겨난 교회 등이다.
100	아시아에서 만난 우리 역사	10	강응천	2	470	유럽보다 멀어 보이던 아시아, 하지만 오래전부터 우리와 다양한 방식으로 친근한 관계를 맺어 왔다. 『아시아에서 만난 우리 역사』에는 삼국 시대부터 아시아 곳곳을 오갔던 우리 조상부터 ...
